INDEX_NAME,SURVEY,STOCK,GEAR,SURVEY DESIGN,YEARS,SEASON,MONTHS,DATE_MEDIAN,SPATIAL EXTENT,AGES SAMPLED,LENGTHS,WEIGHTS,AGES,SEX INFO,ENVIRON PARAMS,EFFORT,GEAR MENSURATION,DESIGN CHANGES,MODEL,SUBSETTING_NOTES,COVID_NOTES,COMMENTS
ASMFC_BTS_WGOM_SHRIMP,ASMFC Shrimp Trawl,WGOM,Trawl,Random stratified,1983-2021,SUMMER,Jul-Aug,NA,Gulf of Maine,0+,Yes,Yes,No,Yes,NA,NA,NA,NA,Stratified Mean,"Strata: 4010,4030,4050-4070",No tows in 2020,NA
DFO_5Z1-2_SUMMER,DFO Trawl,GBK,Trawl,Random stratified,"1989, 1990, 2011-2021",SUMMER,July-Aug,NA,Georges Bank,0+,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Stratified Mean,"Strata: 5Z1, 5Z2 Summer Survey",NA,Indices based on requested strata groupings. Inconsistent coverage since 2011.
DFO_5Z1-7_SPRING,DFO Trawl,GBK,Trawl,Random stratified,1987-2021,SPRING,Feb-Apr,NA,Georges Bank,0+,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Stratified Mean,"Strata: 5Z1, 5Z2, 5Z3, 5Z4, 5Z5, 5Z6, 5Z7 - Spring Survey",NA,Indices based on requested strata groupings. Not all strata covered in all years
DFO_5ZJM_SPRING,DFO Trawl,GBK,Trawl,Random stratified,1987-2022,SPRING,Feb-Apr,NA,Georges Bank - NAFO 5ZJM,0+,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Stratified Mean,"Strata: 5Z1, 5Z2, 5Z3, 5Z4 within NAFO 5ZJM (US Area 551,552,561,562; CAN Unit Area 523, 524))",NA,Indices used for EGB cod and haddock TRAC assessments.
MAMDF_IBS_WGOM,MADMF Industry,WGOM,Trawl,IBS1: 2-stage stratified; IBS2: random stratified,IBS1: 2004-2007; IBS2: 2016-2019,SPRING,"IBS1: Nov-May; IBS2: Oct-Jan, Apr-Jul",NA,"IBS1: 20-140m depths; IBS2: 20m+ depths, west of -69.5 longitude",1+,Yes,No,Yes,Yes,depth,"NCOD_SQKM accounts for tow length, gear width, herding, and footrope escapement","door spread, wing spread, net height",same gear throughout; see refs for study area changes between periods,"D ~ s(J,bs='cc') + s(DEPTH) + s(LAT,LON)",OVERLAP = TRUE; STOCK = WGOM,No COVID effects,NA
MADMF_SNE_A0_SPRING,MADMF Trawl,SNE,Trawl,Random stratified,1978-2021,SPRING,May,May 19th,"MA State Waters, RI to Nantucket",0,< 9 cm,NA,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9110-9160; Length <9 cm,No tows in 2020,NA
MADMF_WGOM_A0_FALL,MADMF Trawl,WGOM,Trawl,Random stratified,1978-2021,FALL,Sep,Sep 11th,"MA State Waters, NH to Nantucket",0,< 9 cm,NA,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length <9 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360
MADMF_WGOM_A1PLUS_FALL,MADMF Trawl,WGOM,Trawl,Random stratified,1978-2021,FALL,Sep,Sep 11th,"MA State Waters, NH to Nantucket",1+,>= 15 cm,NA,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length >=15 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360
MADMF_WGOM_A0_SPRING,MADMF Trawl,WGOM,Trawl,Random stratified,1978-2021,SPRING,May,May 12th,"MA State Waters, NH to Nantucket",0,< 9 cm,NA,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length <9 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360
MADMF_WGOM_A1PLUS_SPRING,MADMF Trawl,WGOM,Trawl,Random stratified,1978-2021,SPRING,May,May 12th,"MA State Waters, NH to Nantucket",1+,>= 9 cm,NA,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length >=9 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360
MENH_EGOM_FALL,ME-NH Inshore Trawl,EGOM,Trawl,Random stratified,2000-2021,FALL,Sept-Oct,1664582400,NH/MA border to ME/Canada border,0+,Yes,Yes,Yes,Yes,"air Temp, SST, BT, wind direction, surface salinity, bottom salinity
",NA,yes - esonar,"added fourth depth stratum after 2003, dropped all fixed stations in 2014 (not included in data)",Stratified Mean,NA,NA,NA
MENH_EGOM_SPRING,ME-NH Inshore Trawl,EGOM,Trawl,Random stratified,2001-2021,SPRING,May-Jun,1651536000,NH/MA border to ME/Canada border,0+,Yes,Yes,Yes,Yes,"air Temp, SST, BT, wind direction, surface salinity, bottom salinity
",NA,yes - esonar,"added fourth depth stratum after 2003, dropped all fixed stations in 2014 (not included in data)",Stratified Mean,NA,no tows in spring 2020,NA
MENH_WGOM_FALL,ME-NH Inshore Trawl,WGOM,Trawl,Random stratified,2000-2021,FALL,Sept-Oct,1664582400,NH/MA border to ME/Canada border,0+,Yes,Yes,Yes,Yes,"air Temp, SST, BT, wind direction, surface salinity, bottom salinity
",NA,yes - esonar,"added fourth depth stratum after 2003, dropped all fixed stations in 2014 (not included in data)",Stratified Mean,NA,NA,NA
MENH_WGOM_SPRING,ME-NH Inshore Trawl,WGOM,Trawl,Random stratified,2001-2021,SPRING,May-Jun,1651536000,NH/MA border to ME/Canada border,0+,Yes,Yes,Yes,Yes,"air Temp, SST, BT, wind direction, surface salinity, bottom salinity
",NA,yes - esonar,"added fourth depth stratum after 2003, dropped all fixed stations in 2014 (not included in data)",Stratified Mean,NA,no tows in spring 2020,NA
NEFSC_BLLS_WGOM_FALL,NEFSC BLLS,WGOM,Longline,Random stratified,2014-2021,FALL,Oct-Nov,1666915200,Gulf of Maine,0+,Yes,Yes,No,Yes,"Depth, temperature, and current velocity and direction collected, but data not currently available","2 hour soak time, overlapping the slack tide","line length = 1 nautical mile with 1,000 baited hooks",2017: smooth strata combined and adjustment of station allocation (NOAA Tech Memo NMFS-NE-249),Stratified Mean,No subsetting,No impact,Otoliths were collected for fish â‰¥70 cm but not all have not been aged yet
NEFSC_BLLS_WGOM_SPRING,NEFSC BLLS,WGOM,Longline,Random stratified,2014-2021,SPRING,Apr-Jun,1651708800,Gulf of Maine,0+,Yes,Yes,No,Yes,"Depth, temperature, and current velocity and direction collected, but data not currently available","2 hour soak time, overlapping the slack tide","line length = 1 nautical mile with 1,000 baited hooks",2017: smooth strata combined and adjustment of station allocation (NOAA Tech Memo NMFS-NE-249),Stratified Mean,No subsetting,No sets in 2020,Otoliths were collected for fish â‰¥70 cm but not all have not been aged yet
NEFSC_BTS_EGOM_FALL,NEFSC BTS,EGOM,Trawl,Random stratified,1963-2021,FALL,Oct-Nov,2-Nov,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,,,,,,,,,Stratified Mean,"Strata: XXXX, XXXX…",No tows in 2020,all values standardized to Albatross/Polyvalent Doors
NEFSC_BTS_EGOM_SPRING,NEFSC BTS,EGOM,Trawl,Random stratified,1968-2021,SPRING,Apr-May,24-Apr,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,,,,,,,,,Stratified Mean,"Strata: XXXX, XXXX…",No tows in 2020,all values standardized to Albatross/Polyvalent Doors
NEFSC_BTS_GBK_FALL,NEFSC BTS,GBK,Trawl,Random stratified,1963-2021,FALL,Sep-Dec,18-Oct,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,,,,,,,,,Stratified Mean,"Strata: XXXX, XXXX…",No tows in 2020,all values standardized to Albatross/Polyvalent Doors
NEFSC_BTS_GBK_SPRING,NEFSC BTS,GBK,Trawl,Random stratified,1968-2021,SPRING,Mar-May,11-Apr,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,,,,,,,,,Stratified Mean,"Strata: XXXX, XXXX…",No tows in 2020,all values standardized to Albatross/Polyvalent Doors
NEFSC_BTS_SNE_FALL,NEFSC BTS,SNE,Trawl,Random stratified,1963-2021,FALL,Sep-Oct,29-Sep,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,,,,,,,,,Stratified Mean,"Strata: XXXX, XXXX…",No tows in 2020,all values standardized to Albatross/Polyvalent Doors
NEFSC_BTS_SNE_SPRING,NEFSC BTS,SNE,Trawl,Random stratified,1968-2021,SPRING,Feb-May,25-Mar,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,,,,,,,,,Stratified Mean,"Strata: XXXX, XXXX…",Some strata missed in 2020,all values standardized to Albatross/Polyvalent Doors
NEFSC_BTS_WGOM_FALL,NEFSC BTS,WGOM,Trawl,Random stratified,1963-2021,FALL,Sep-Dec,25-Oct,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,,,,,,,,,Stratified Mean,"Strata: XXXX, XXXX…",No tows in 2020,all values standardized to Albatross/Polyvalent Doors
NEFSC_BTS_WGOM_SPRING,NEFSC BTS,WGOM,Trawl,Random stratified,1968-2021,SPRING,Mar-Jun,19-Apr,"Cape Hatteras, NC, to Nova Scotia, Canada,",0+,Yes,Yes,Yes,Yes,"air Temp, SST, BT, wind direction, wind speed, cloud cover, sea condition
",,,,Stratified Mean,"Strata: XXXX, XXXX…",No tows in 2020,all values standardized to Albatross/Polyvalent Doors
RIDEM_Trawl_FALL,RIDEM Trawl,SNE,Trawl,Random stratified/Fixed,1979-2021,FALL,Sep-Oct,44680,"Narragansett Bay, Block Island Sound, Rhode Island Sound",NA,Yes,Yes,No,No,"air Temp, SST, BT, wind direction, wind speed, cloud cover, sea condition
",20 min standardized tow,Notus Door Spread Sensors,"New Vessel in 2005, New trawl doors in 2012",NA,NA,No Delay,NA
RIDEM_Trawl_MONTHLY,RIDEM Trawl,SNE,Trawl,Fixed,1990-2021,ALL YEAR,Jan-Dec,NA,"Narragansett Bay, 1 station in Rhode Island Sound",0+,Yes,Yes,No,No,"air Temp, SST, BT, wind direction, wind speed, cloud cover, sea condition
",20 min standardized tow,Notus Door Spread Sensors,"New Vessel in 2005, New trawl doors in 2012",NA,NA,No Delay,NA
RIDEM_Trawl_SPRING,RIDEM Trawl,SNE,Trawl,Random stratified/Fixed,1979-2021,SPRING,Apr-May,44826,"Narragansett Bay, Block Island Sound, Rhode Island Sound",NA,Yes,Yes,No,No,"air Temp, SST, BT, wind direction, wind speed, cloud cover, sea condition
",20 min standardized tow,Notus Door Spread Sensors,"New Vessel in 2005, New trawl doors in 2012",NA,NA,No Delay,NA
SENTINEL_EGOM_FALL,Sentinel,EGOM,Jig,Random stratified,2012-2021,FALL,June-October,1660608000,Western Penobscot Bay to The Canadian Border,0+,Yes,Yes,Some,Some,"Depth, sediment class, bottom temp, surface temp, presence/absence of pollock and mackerel","2 jigs, 3 hooks each. 5, 5-min drops at each site",NA,More stations allocated in 2012 than in other years,Stratified Mean,NA,NA,NA
SMAST_STELLWAGEN_FALL,SMAST Video Trawl,WGOM,Trawl,Uniform,2019,FALL,Nov,1668902400,Stellwagen Bank,1+,Yes,Yes,No,No,Depth and Bottom Temperature,Any,Wingspread and Doorspread,NA,Area Swept,NA,NA,Effort can be standardized to anything because data can be subsetted by minute
SMAST_JEFFRIES_SPRING,SMAST Video Trawl,WGOM,Trawl,Uniform,2018-2019,SPRING,Apr-May,1649116800,Southern Jeffrey's Ledge,1+,Yes,Yes,No,No,Depth and Bottom Temperature,Any,Wingspread and Doorspread,NA,Area Swept,NA,NA,Effort can be standardized to anything because data can be subsetted by minute
SMAST_STELLWAGEN_SPRING,SMAST Video Trawl,WGOM,Trawl,Uniform,2017-2019,SPRING,Apr-May,1649030400,Stellwagen Bank,1+,Yes,Yes,No,No,Depth and Bottom Temperature,Any,Wingspread and Doorspread,NA,Area Swept,NA,NA,Effort can be standardized to anything because data can be subsetted by minute
SMAST_WGOM_SPRING,SMAST Video Trawl,WGOM,Trawl,Random stratified,2020-2022,SPRING,May,1652227200,Western Gulf of Maine (Mostly Stat 513 and 514),1+,Yes,Yes,No,No,Depth and Bottom Temperature,Any,Wingspread and Doorspread,NA,Area Swept,NA,Fishermen ran 2020 survey alone.,Effort can be standardized to anything because data can be subsetted by minute
SMAST_JEFFRIES_WINTER,SMAST Video Trawl,WGOM,Trawl,Uniform,2018-2022,WINTER,Jan,1641859200,Southern Jeffrey's Ledge,1+,Yes,Yes,No,No,Depth and Bottom Temperature,Any,Wingspread and Doorspread,NA,Area Swept,NA,NA,Effort can be standardized to anything because data can be subsetted by minute
SMAST_STELLWAGEN_WINTER,SMAST Video Trawl,WGOM,Trawl,Uniform,2016-2022,WINTER,Jan,1641686400,Stellwagen Bank,1+,Yes,Yes,No,Some,Depth and Bottom Temperature,Any,Wingspread and Doorspread,Liner added after first trip,Area Swept,NA,NA,Effort can be standardized to anything because data can be subsetted by minute
URI GSO Weekly Fish Trawl,URI GSO,SNE,Trawl,FIXED,1959-2021,ALL YEAR,Jan-Dec,NA,"Narragansett Bay, RI",1,Yes after 2012,Yes after 1993,No,No,"SST, BT, Sal (after 2005), DO (after 2005)",NA,NA,NA,NA,NA,"No tows between March 17 and May 25, 2020",Data has been interpolated for data gaps in 2017 and 2020 (See Data Use Policy Document)
